audit_id,pilot_id,category,label,relative_path
UISAUD_023,DVP_262_05f12da2185d,UIScreenshots,0,Data/UIScreenshots/0_real/545.jpg
UISAUD_024,DVP_267_0611c0c5312d,UIScreenshots,0,Data/UIScreenshots/0_real/21780.jpg
UISAUD_025,DVP_268_061bf1da0ccc,UIScreenshots,0,Data/UIScreenshots/0_real/36126.jpg
UISAUD_026,DVP_276_062f0a8d0e3c,UIScreenshots,0,Data/UIScreenshots/0_real/67233.jpg
UISAUD_027,DVP_287_06658eb92da2,UIScreenshots,0,Data/UIScreenshots/0_real/33603.jpg
UISAUD_028,DVP_290_0674383e7fe1,UIScreenshots,0,Data/UIScreenshots/0_real/10208.jpg
UISAUD_029,DVP_303_06b1c8694802,UIScreenshots,0,Data/UIScreenshots/0_real/42992.jpg
UISAUD_030,DVP_324_07020cd515bf,UIScreenshots,0,Data/UIScreenshots/0_real/54869.jpg
UISAUD_031,DVP_354_07b8e61682b3,UIScreenshots,0,Data/UIScreenshots/0_real/42048.jpg
UISAUD_032,DVP_363_07e20e8a1b1f,UIScreenshots,0,Data/UIScreenshots/0_real/45855.jpg
UISAUD_033,DVP_378_08663f1ea7ab,UIScreenshots,0,Data/UIScreenshots/0_real/5484.jpg
UISAUD_034,DVP_402_092037b6ca2d,UIScreenshots,0,Data/UIScreenshots/0_real/68319.jpg
UISAUD_035,DVP_418_097299734482,UIScreenshots,0,Data/UIScreenshots/0_real/32214.jpg
UISAUD_036,DVP_424_098d92349b99,UIScreenshots,0,Data/UIScreenshots/0_real/38410.jpg
UISAUD_037,DVP_429_09a373bf6892,UIScreenshots,0,Data/UIScreenshots/0_real/228.jpg
UISAUD_038,DVP_439_09da3c093f0c,UIScreenshots,0,Data/UIScreenshots/0_real/32936.jpg
UISAUD_039,DVP_468_0a795d87e371,UIScreenshots,0,Data/UIScreenshots/0_real/66150.jpg
UISAUD_040,DVP_499_0b02e14ea7ae,UIScreenshots,0,Data/UIScreenshots/0_real/9438.jpg
UISAUD_041,DVP_505_0b1a50c49c30,UIScreenshots,0,Data/UIScreenshots/0_real/21050.jpg
UISAUD_042,DVP_512_0b4a7e9ddf64,UIScreenshots,0,Data/UIScreenshots/0_real/35871.jpg
UISAUD_043,DVP_525_0baeeae35400,UIScreenshots,0,Data/UIScreenshots/0_real/41586.jpg
UISAUD_044,DVP_526_0bb0e4aba7d2,UIScreenshots,0,Data/UIScreenshots/0_real/59717.jpg
UISAUD_045,DVP_528_0bbd51a7d084,UIScreenshots,0,Data/UIScreenshots/0_real/70706.jpg
UISAUD_046,DVP_542_0c0dd4b8e1c9,UIScreenshots,0,Data/UIScreenshots/0_real/7632.jpg
UISAUD_047,DVP_544_0c190221458c,UIScreenshots,0,Data/UIScreenshots/0_real/68348.jpg
UISAUD_048,DVP_550_0c6bd7f1c444,UIScreenshots,0,Data/UIScreenshots/0_real/7829.jpg
UISAUD_049,DVP_566_0d0b4ae97bea,UIScreenshots,0,Data/UIScreenshots/0_real/68041.jpg
UISAUD_050,DVP_568_0d1888b938df,UIScreenshots,0,Data/UIScreenshots/0_real/320.jpg
UISAUD_051,DVP_004_000f693d4a62,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0844.png
UISAUD_052,DVP_006_001b9f70299d,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0850.png
UISAUD_053,DVP_029_0090071373da,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0153.png
UISAUD_054,DVP_033_00b8639a4298,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0310.png
UISAUD_055,DVP_043_00d9532b88f5,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0547.png
UISAUD_056,DVP_048_010e09ec457f,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0536.png
UISAUD_057,DVP_054_0155a51ce8a6,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0683.png
UISAUD_058,DVP_057_01794c2b6b86,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0553.png
UISAUD_059,DVP_065_01abd78c859f,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0377.png
UISAUD_060,DVP_094_023f9b1d5afe,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0134.png
UISAUD_061,DVP_106_0285171d2cea,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0767.png
UISAUD_062,DVP_109_028c03e060d4,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0496.png
UISAUD_063,DVP_131_0306afffdb58,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0682.png
UISAUD_064,DVP_141_03361b066ff3,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0492.png
UISAUD_065,DVP_149_037c5b2e99f7,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0391.png
UISAUD_066,DVP_151_03877dd71d94,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0157.png
UISAUD_067,DVP_163_03b7647ad693,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0569.png
UISAUD_068,DVP_168_03d3999357b4,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0583.png
UISAUD_069,DVP_171_03e8abbcb43d,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0886.png
UISAUD_070,DVP_182_044abe50d348,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0773.png
UISAUD_071,DVP_236_056c730887a6,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0366.png
UISAUD_072,DVP_244_058149c3cbf6,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0898.png
UISAUD_073,DVP_250_05a71a0b6a74,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0199.png
UISAUD_074,DVP_261_05e8a2cd8626,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0239.png
UISAUD_075,DVP_284_065425d2189d,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0565.png
UISAUD_076,DVP_292_0684f21da187,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0442.png
UISAUD_077,DVP_302_06ac0fe5f1cd,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0593.png
UISAUD_078,DVP_334_0721e3a0054b,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0811.png
UISAUD_079,DVP_337_074f3b847c71,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0853.png
UISAUD_080,DVP_346_079075ae269e,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0344.png
UISAUD_081,DVP_352_07b50bd5e5b7,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0799.png
UISAUD_082,DVP_364_07e5c488c358,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0278.png
UISAUD_083,DVP_368_0809ab371545,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0848.png
UISAUD_084,DVP_377_0864c1d5629d,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0984.png
UISAUD_085,DVP_407_0935fff55cb4,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0751.png
UISAUD_086,DVP_423_098d896b0629,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0590.png
UISAUD_087,DVP_459_0a3f8c2f36be,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0418.png
UISAUD_088,DVP_471_0a8abc806a03,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0524.png
UISAUD_089,DVP_490_0ae69cddc805,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0909.png
UISAUD_090,DVP_501_0b09ac319ee6,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0361.png
UISAUD_091,DVP_511_0b4673a284b5,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0231.png
UISAUD_092,DVP_515_0b65f6ad503a,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0328.png
UISAUD_093,DVP_516_0b7ea07dd90c,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0030.png
UISAUD_094,DVP_532_0bdd69ae8d87,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0711.png
UISAUD_095,DVP_551_0c6c6a07b0e9,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0143.png
UISAUD_096,DVP_555_0caaa238d128,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0431.png
UISAUD_097,DVP_556_0cb13e09d767,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0411.png
UISAUD_098,DVP_560_0cf53e32a7a0,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0437.png
UISAUD_099,DVP_577_0d974f058e57,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0697.png
UISAUD_100,DVP_586_0dfe07ac9862,UIScreenshots,1,Data/UIScreenshots/1_fake/ui_0101.png
