pilot_id,relative_path
DVP_077_01ece75e67f5,Data/UIScreenshots/0_real/52107.jpg
DVP_078_01f03f916ae9,Data/InfographicCharts/1_fake/infographic_chart_0115.png
DVP_079_01f0f7822803,Data/Receipts/0_real/X51008099085.jpg
DVP_080_02038acf881a,Data/Tables/0_real/PMC1326198_table_0.jpg
DVP_081_02055dc1a918,Data/AcademicPosters/0_real/ICML_2024_33332_Visual Transformer with Differentiable Channel Selection_ An.png
DVP_082_020a623627d7,Data/AcademicPosters/0_real/NeurIPS_2022_60029_Deep Neural Imputation_ A Framework for Recovering Incomplet.png
DVP_083_020bcbf9555b,Data/Receipts/1_fake/receipt_0726.png
DVP_084_020c57b53519,Data/Receipts/1_fake/receipt_0978.png
DVP_085_02153df6c4ff,Data/Tables/0_real/PMC5905144_table_0.jpg
DVP_086_021959f1cc95,Data/Receipts/0_real/X51007103688.jpg
DVP_087_021de251c037,Data/CommercialPosters/0_real/5b51f32200f9c6103ae8b3e5_preview.jpg
DVP_088_021e6b7f3d69,Data/Receipts/0_real/X51008114216.jpg
DVP_089_022217b75e79,Data/CommercialPosters/0_real/5cdd82ea7d4459dfe1a5c7b9_preview.jpg
DVP_090_022e6e2fb2a9,Data/Receipts/1_fake/receipt_0681.png
DVP_091_0232ea61c149,Data/AcademicPosters/1_fake/academic_poster_0968.png
DVP_092_023f9b1d5afe,Data/UIScreenshots/1_fake/ui_0134.png
DVP_093_02444e18871c,Data/InfographicCharts/1_fake/infographic_chart_0437.png
DVP_094_0247d1ae6c06,Data/Tables/1_fake/table_1000.png
DVP_095_02492978d021,Data/CommercialPosters/0_real/5b27b8f61eb1c99e2ab9474e_preview.jpg
DVP_096_024ea845b456,Data/Receipts/0_real/X51005568829.jpg
DVP_097_02500044356e,Data/InfographicCharts/0_real/00016747.jpeg
DVP_098_026c06614ebc,Data/Tables/1_fake/table_0483.png
DVP_099_0275720d8098,Data/UIScreenshots/0_real/8592.jpg
DVP_100_0275cd7b3eb8,Data/CommercialPosters/1_fake/commercial_poster_0315.png
DVP_101_028675fa3647,Data/Receipts/0_real/X51006620186.jpg
DVP_102_02928c727622,Data/CommercialPosters/0_real/5bf28e0d41fdeab19f9d2597_preview.jpg
DVP_103_02a4e6d7446a,Data/AcademicPosters/0_real/NeurIPS_2022_63439_Structured Priors for Disentangling Pathology and Anatomy in.png
DVP_104_02b7f3ee0064,Data/CommercialPosters/0_real/5c373fba048d064dbc2a96ca_preview.jpg
DVP_105_02baf01caec4,Data/InfographicCharts/0_real/00014510.jpeg
DVP_106_02beb0a67404,Data/InfographicCharts/0_real/00055388.jpg
DVP_107_02c420df5932,Data/Receipts/0_real/X51005705784.jpg
DVP_108_02cc39f73e5d,Data/AcademicPosters/0_real/NeurIPS_2023_71807_Practical Differentially Private Hyperparameter Tuning with .png
DVP_109_02cdf19a37bd,Data/Receipts/0_real/X51005676539.jpg
DVP_110_02ce358ab638,Data/UIScreenshots/0_real/8560.jpg
DVP_111_02d2900ddb7d,Data/UIScreenshots/0_real/56610.jpg
DVP_112_02e23210677c,Data/CommercialPosters/1_fake/commercial_poster_0288.png
DVP_113_0301352ea55d,Data/CommercialPosters/1_fake/commercial_poster_0487.png
DVP_114_0312b40955d7,Data/InfographicCharts/0_real/00027443.jpeg
DVP_115_0318c2e08df7,Data/Tables/1_fake/table_0487.png
DVP_116_031ee141cbe8,Data/Tables/1_fake/table_0411.png
DVP_117_0325723ec38b,Data/CommercialPosters/0_real/5ca7253923c829c8213e6cd2_preview.jpg
DVP_118_038d09fb52e0,Data/AcademicPosters/0_real/ICLR_2023_13489_Understanding forest resilience to drought with Shapley valu.png
DVP_119_03c8de266eae,Data/Tables/1_fake/table_0921.png
DVP_120_042ba6e59683,Data/Tables/1_fake/table_0548.png
