category,real_id,fake_id,real_region_count,fake_region_count,absolute_region_count_difference
Receipts,DVP_517_0b808ff59f26,DVP_050_0134146f813d,48,52,4
Receipts,DVP_150_0387660d36e6,DVP_322_06fb8db40b1f,78,73,5
Receipts,DVP_438_09d4c45d9f86,DVP_503_0b12f118becc,46,52,6
Receipts,DVP_527_0bbb8d47377c,DVP_084_020c57b53519,46,52,6
Receipts,DVP_552_0c73901d22ad,DVP_064_01a3c38c16b2,46,53,7
Tables,DVP_001_00009dcb92a2,DVP_275_0628a182956e,89,89,0
Tables,DVP_264_05f715182da0,DVP_045_0102932205a0,66,66,0
Tables,DVP_308_06cb90a39306,DVP_533_0bde5bde8edc,62,62,0
Tables,DVP_047_010c0e55105c,DVP_589_0e39426a0cb8,66,66,0
Tables,DVP_105_027e6cc64a46,DVP_487_0ac86e298f6f,52,51,1
Tables,DVP_125_02e54b8f701c,DVP_023_0074132a6a8f,77,78,1
Tables,DVP_148_0375f6440449,DVP_540_0c0327a75d7d,48,49,1
Tables,DVP_174_04206ec3a991,DVP_485_0ac25504a793,110,109,1
Tables,DVP_256_05bcf0e4390b,DVP_454_0a2a001f89a0,90,89,1
Tables,DVP_327_070847b1402a,DVP_582_0ddbd52ca9dc,95,96,1
Tables,DVP_044_00fc768ab465,DVP_456_0a2e0434ae64,73,74,1
Tables,DVP_475_0aa3e5b9d645,DVP_497_0afab10feca7,88,89,1
Tables,DVP_513_0b4fc482e725,DVP_588_0e2886d2ca51,75,74,1
Tables,DVP_520_0b8683f97015,DVP_569_0d27b46680a5,85,84,1
Tables,DVP_539_0bfc93ae11a6,DVP_214_04e008138b45,35,34,1
Tables,DVP_055_015b3d437c3f,DVP_180_0443de151181,114,113,1
Tables,DVP_576_0d707e1fb02d,DVP_537_0bf60152b0b8,60,59,1
Tables,DVP_595_0f075f130556,DVP_349_07a28143d15d,66,65,1
Tables,DVP_085_02153df6c4ff,DVP_575_0d5e0b407b92,62,63,1
Tables,DVP_443_0a031680e02e,DVP_355_07b97707b21b,67,69,2
Tables,DVP_068_01b7dd76924d,DVP_389_08c3bf96b2a8,43,45,2
Tables,DVP_207_04be1decd5a7,DVP_213_04dde085746c,40,46,6
Tables,DVP_412_09531beef8fb,DVP_557_0cc2d3f2ee63,77,71,6
Tables,DVP_058_017aab6a650f,DVP_071_01c448a8c43e,52,46,6
Tables,DVP_455_0a2bf208d3da,DVP_436_09d109c1c88e,77,69,8
Tables,DVP_242_057cb83b5492,DVP_313_06eac3a576af,242,232,10
UIScreenshots,DVP_103_0275720d8098,DVP_151_03877dd71d94,21,21,0
UIScreenshots,DVP_013_003f16df2207,DVP_471_0a8abc806a03,44,44,0
UIScreenshots,DVP_121_02ce358ab638,DVP_054_0155a51ce8a6,20,20,0
UIScreenshots,DVP_205_04bace07540b,DVP_261_05e8a2cd8626,21,21,0
UIScreenshots,DVP_276_062f0a8d0e3c,DVP_057_01794c2b6b86,35,35,0
UIScreenshots,DVP_429_09a373bf6892,DVP_423_098d896b0629,17,17,0
UIScreenshots,DVP_528_0bbd51a7d084,DVP_555_0caaa238d128,24,24,0
UIScreenshots,DVP_231_054ccee07886,DVP_033_00b8639a4298,16,15,1
UIScreenshots,DVP_248_05963696e4fa,DVP_577_0d974f058e57,32,33,1
UIScreenshots,DVP_262_05f12da2185d,DVP_352_07b50bd5e5b7,18,19,1
UIScreenshots,DVP_267_0611c0c5312d,DVP_511_0b4673a284b5,20,19,1
UIScreenshots,DVP_568_0d1888b938df,DVP_109_028c03e060d4,34,36,2
UIScreenshots,DVP_378_08663f1ea7ab,DVP_182_044abe50d348,32,36,4
UIScreenshots,DVP_199_04a0d7791ed9,DVP_163_03b7647ad693,31,38,7
UIScreenshots,DVP_060_017dd1a3bd75,DVP_556_0cb13e09d767,30,39,9
